Year,Artist,Popularity,Track ID,Genre
1955,Billie Holiday,46,1l3tnchl5noYMXhMjjTvhf,jazz
1955,Javier Solís,53,60TNuPO8CKIjHstvZ9y5JN,bolero
1955,Lionel Hampton,47,4z1E9GltZHciLum0ybby9h,swing music
1955,Anita O'Day,46,6R9A3kC2pDbqUe2FpUZW4D,vocal jazz
1955,Clifford Brown,45,7iOTBeLm5qR9N23fjQy8Kl,hard bop
1955,Anita O'Day,47,3lXgCSYCH9wCTHHLnpBzig,vocal jazz
1955,Dizzy Gillespie,45,1xXydFs62EqOXFMPizVhn4,bebop
1955,The Almanac Singers,41,4fOkwtXTHAqAgfIBdi8CqK,folk
1955,Giacomo Puccini,52,69EKwvg7nkdOO3RmeUMJZG,opera
1955,Dave Brubeck,44,1u1yAXbpeZbObTD7OvaKa3,jazz
1955,Ella Fitzgerald,45,4JQiUSWsle7d4MAnsSi3hO,vocal jazz
1955,Thelonious Monk,43,3VIXUEBg2YkGwBMpTPMBXa,jazz
1955,Clifford Brown,41,0BNrLm5na6f7witHj8769E,hard bop
1955,Gerry Mulligan Sextet,43,2m8vNmDGz5GCGLxJfWIsJI,cool jazz
1955,Julio Jaramillo,53,63WOe6J2fcAwewkiLQVlwF,bolero
1956,Frank Sinatra,70,3aEJMh1cXKEjgh52claxQp,christmas
1956,Harry Belafonte,68,4fHDlIntTsRGSyTg5UYZYC,calypso
1956,Elvis Presley,66,2DQ5r0crvortwaNRYcninK,rockabilly
1956,Frank Sinatra,67,2WaYW84yWij5NSCpgSeU2R,christmas
1956,Chet Baker,68,0F845nujLVqCb0XMZCh5Pc,jazz
1956,Billie Holiday,66,30QD4VRP9yEneOh0eGTrtJ,jazz
1956,Billie Holiday,67,1pZn8AX1WulW8IO338hE5D,jazz
1956,Elvis Presley,68,47gmoUrZV3w20JAnQOZMcO,rockabilly
1956,Chet Baker,66,4l9hml2UCnxoNI3yCdL1BW,jazz
1956,Ella Fitzgerald,64,5TNpCThzzXHEipXGKgNG8T,vocal jazz
1956,Frank Sinatra,62,3YCbx1QqGrnxMsPEZLC1CT,christmas
1956,Chet Baker,62,3pfbQmD5xGH9Tcc7GqGfSL,jazz
1956,Nat King Cole,62,0WNsDyndBS63qBMxbZ9OHR,christmas
1956,Chet Baker,61,06UkYE0SZ3Y8zGRFOuWGAe,jazz
1956,Chet Baker,61,4gFlHAye7To29Fs4UszQUH,jazz
1956,Ella Fitzgerald,60,2U3ENhffoGzWcoYoR0U4Lm,vocal jazz
1956,Chet Baker,60,4m6OC8u2rC6LMFtFWsME7d,jazz
1956,Oscar Peterson,59,78ntGe4xyecZHg9exQWwK6,jazz
1956,Billie Holiday,57,6o5RbQYhmF4yRRw7ZArxGL,jazz
1956,Kitty Wells,52,5qYp7YDkLAaSd1nBWejkAD,honky tonk
1956,Chet Baker,57,2d64G7VaZdHQuAquz5HQNu,jazz
1956,Frankie Avalon,53,5nBr66TqJIjJ2XRgCtfG6F,doo-wop
1956,Chet Baker,57,2zPANzQTt5Nbkg0eBPb7HI,jazz
1956,The Channels,51,29hcsWGAuX9yGdwWDeDgRS,doo-wop
1956,Billie Holiday,55,78MIFwIW5oUNdaL6Sj8hTB,jazz
1956,Louis Prima,56,0NI42v4l2AxIbgoIrWKiBU,swing music
1956,The Platters,55,1ntGJDSakqsaw1KhptKrB5,doo-wop
1956,Louis Prima,56,7LYfx4uOewuMJnkAN4xHlj,swing music
1956,Zoot Sims,55,36NzG0ptwi4k798mpIS3Oz,cool jazz
1956,Mickey Baker,54,0IQP5YqQzNcAQoIFkYA1b2,
1956,Dottie Evans,55,6Ka6JYI6wWYVHKjrs6DPFB,
1956,Ella Fitzgerald,55,0gE63HwMeWgK30ONO4witM,vocal jazz
1956,Skeeter Davis,54,1SiHbI5iOQ2sccOKr8Ggi5,
1956,Ella Fitzgerald,56,5hByDDVyr6pfRAutehCAYa,vocal jazz
1956,Billie Holiday,53,1wAURZCIA0k5RNwaJN3dH3,jazz
1956,Jerry Vale,53,4xNlVOVjEdbQ7oAqzBWFit,adult standards
1956,Ella Fitzgerald,54,1NV8LlaC1InXaDQOcMBQTg,vocal jazz
1956,Eartha Kitt,51,3U69pCQwveSOn5bl9VAime,christmas
1956,Chet Baker,53,67ibXkmavZoN2S6m86p70f,jazz
1956,Ella Fitzgerald,53,75LI0OCqjssEzuhEv42jYn,vocal jazz
1956,Eartha Kitt,52,1f1ybry2mOfAgP3qBFMiKc,christmas
1956,Elvis Presley,53,6VqCe4PcokSekHPJQaDx0B,rockabilly
1956,Vic Damone,51,5fPxNZYdzcvSMXnJ0zsvZE,adult standards
1956,Billie Holiday,51,1rUpHU45dBawthkWVugcQn,jazz
1956,Shirley & Lee,46,2F9rEI6woMPDLlBg3ZkiS4,doo-wop
1956,Ella Fitzgerald,53,22MsyWQ5WFGv8GXP7qmzDP,vocal jazz
